"Molecule","Molecule name","Atom count","Bond count"
"OC(=O)CN1CC[NH2+]CC1=O","ZINC000039114992",21,21
"OC(=O)C[NH2+]CC[NH2+]CC(O)=O","ZINC000019366193",24,23
"OC(=O)C[C@H]1[NH2+]CCNC1=O","ZINC000004291486",21,21
"OC(=O)[C@@H]1C[NH2+]CCN1","ZINC000019363542",19,19
"CNC1(CNC1)C(N)=O","ZINC000078677351",20,20
"OCC1(CO)SC(=O)NC1=O","ZINC000005380640",18,18
"OC(=O)[C@H]1C[NH2+]CCN1","ZINC000019371708",19,19
"O=c1ncnc2[nH]cnn12","ZINC000008649134",13,14
"O=C(N1CCNCC1)c1c[nH]c(=O)[nH]1","ZINC000020258057",26,27
"OCCNC1COC1","ZINC000082488003",19,19
"O=C(N1CCNCC1)c1nc[nH]n1","ZINC000039570052",24,25
"OC1=CC[NH+]=C(N1)N1CCNCC1","ZINC000096663767",27,28
"C[C@@H](NC(=O)CN)C(N)=O","ZINC000001605462",21,20
"OC(=O)[C@@H]1C[NH2+]CC(=O)N1","ZINC000038540697",18,18
"OC(=O)[C@H]1C[NH2+]CC(=O)N1","ZINC000038540696",18,18
"O=C1COC[C@@H]2CNCCN12","ZINC000035309297",23,24
"O=C1COC[C@H]2CNCCN12","ZINC000035309299",23,24
"O=C1NC[C@@H]2CNCCN12","ZINC000025879473",21,22
"O=C1NC[C@H]2CNCCN2C1=O","ZINC000072296305",23,24
"O=C1NC[C@H]2CNCCN12","ZINC000025879477",21,22
"O=C1NC[C@@H]2CNCCN2C1=O","ZINC000072296304",23,24
"O=C1N[C@@H]2Nc3nonc3N[C@H]2N1","ZINC000003662018",19,21
"C[C@@H](O)C(=O)N1CCNCC1","ZINC000036949583",25,25
"OCCN1CCN(CCO)CC1","ZINC000019363644",30,30
"O=C1N[C@H]2Nc3nonc3N[C@@H]2N1","ZINC000003662019",19,21
"C[C@@H](O)[C@@H](N)C(N)=O","ZINC000004761899",18,17
"C[C@@H](O)[C@H](N)C(N)=O","ZINC000002046871",18,17
"OCCN[C@H]1CS(=O)(=O)C[C@@H]1O","ZINC000001771808",25,25
"O=S1(=O)C[C@@H]2NCCN[C@H]2C1","ZINC000032496998",23,24
"O=S1(=O)C[C@H]2NCCN[C@@H]2C1","ZINC000032496997",23,24
"O=S1(=O)C[C@H]2NCCN[C@H]2C1","ZINC000032496996",23,24
"COCCN[C@@H]1CC(=O)NC1=O","ZINC000102669200",24,24
"CC(=O)NCCN[C@H]1CC(=O)NC1=O","ZINC000102669826",27,27
"NC(=O)c1c[nH]n(CCO)c1=N","ZINC000103429673",22,22
"O[C@H]1CNCCO1","ZINC000035572085",16,16
